
---2024-10-05 17:32:53----------------------
1.137420 2.042946 0.853488 
1.008193 2.003070 0.893445 
1.086200 2.122854 0.999907 
0.978862 1.966133 1.049538 
1.003041 1.950245 0.984772 
0.898560 1.943969 0.622950 
1.050240 2.026450 0.882663 
0.993006 1.903774 0.866686 
0.780587 1.752977 0.971475 
1.154693 2.148571 0.833698 

---2024-10-05 17:36:13----------------------
2.991486 3.952659 2.881357 
2.963696 3.931970 2.658642 
2.946350 3.996715 2.969074 
3.118025 4.129600 2.638312 
3.031256 4.041152 2.782735 
2.939188 3.918023 2.674489 
2.855909 3.906755 2.897750 
3.026433 4.059776 2.852182 
3.107548 4.077770 2.850694 
2.967586 3.994620 2.678674 

---2024-10-05 18:06:12----------------------
4.960880 5.963335 4.547566 
5.107600 6.087570 4.511132 
4.997730 6.024508 4.768429 
5.045728 6.048764 4.629787 
4.999668 6.007328 4.567623 
5.072382 6.066167 4.679396 
4.965714 5.994730 4.493161 
4.980514 5.966073 4.590864 
5.036118 5.995536 4.697303 
4.910858 5.941943 4.543997 
